Year,State,Subject,Grade,StudentsEnrolled,TotalFunding,FederalFunding,StateFunding,LocalFunding,TotalExpenditure,DollarsPerStudent,Abbreviation,AvgTeacherSalary
2018,Alabama,Mathematics,8,726924,7672087,861648,4149067,2661372,8075271,10.55,AL,50568
2018,Alaska,Mathematics,8,133381,2986615,452082,1776137,758396,3302234,22.39,AK,69682
2018,Arizona,Mathematics,8,1108259,10761460,1310927,5020755,4429778,10343407,9.71,AZ,48723
2018,Arkansas,Mathematics,8,478972,5523586,619653,2738922,2165011,5567865,11.53,AR,50544
2018,California,Mathematics,8,6229121,95198947,8073820,55290622,31834505,96546739,15.28,CA,80680
2018,Colorado,Mathematics,8,910280,10903750,733977,4743045,5426729,11907002,11.98,CO,52701
2018,Connecticut,Mathematics,8,535025,11678374,441943,4798719,6437712,11324016,21.83,CT,74517
2018,Delaware,Mathematics,8,138371,2457316,192308,1468792,796216,2131694,17.76,DE,61795
2018,District of Columbia,Mathematics,8,88353,2759277,194901,0,2564376,3222225,31.23,DC,76486
2018,Florida,Mathematics,8,2833115,30123298,3432323,11812824,14878151,30994541,10.63,FL,48168
2018,Georgia,Mathematics,8,1768642,20716853,1837424,9528788,9350640,19486747,11.71,GA,56329
2018,Hawaii,Mathematics,8,179255,3035390,235593,2747382,52415,3227336,16.93,HI,57866
2018,Idaho,Mathematics,8,302469,2355855,186293,1569417,600146,2595315,7.79,ID,49225
2018,Illinois,Mathematics,8,2001548,33415226,1928122,13101045,18386059,34797747,16.69,IL,65721
2018,Indiana,Mathematics,8,1052267,12340845,880881,7939855,3520109,11232851,11.73,IN,50614
2018,Iowa,Mathematics,8,512971,6786873,382125,3775683,2629065,6813542,13.23,IA,57018
2018,Kansas,Mathematics,8,491270,6560596,484412,4331222,1744962,6492159,13.35,KS,49754
2018,Kentucky,Mathematics,8,660193,7771921,845579,4249896,2676446,7684254,11.77,KY,52952
2018,Louisiana,Mathematics,8,722666,9374129,1156548,3842526,4375055,9395347,12.97,LA,50359
2018,Maine,Mathematics,8,180650,2795989,142555,1061147,1592287,3239790,15.48,ME,53815
2018,Maryland,Mathematics,8,893689,15782710,1042946,6445740,8294024,14427820,17.66,MD,69627
2018,Massachusetts,Mathematics,8,952838,18327993,862734,6971301,10493958,18604337,19.24,MA,80357
2018,Michigan,Mathematics,8,1453468,17686310,1191426,11706904,4787980,17389159,12.17,MI,61911
2018,Minnesota,Mathematics,8,862135,13470984,568701,9318500,3583783,13124192,15.63,MN,57782
2018,Mississippi,Mathematics,8,477633,4717892,658656,2408234,1651002,4447082,9.88,MS,44926
2018,Missouri,Mathematics,8,883643,11561165,970236,3840433,6750496,11475153,13.08,MO,49304
2018,Montana,Mathematics,8,147088,1866477,205772,897831,762874,1773999,12.69,MT,52776
2018,Nebraska,Mathematics,8,323273,3859091,199020,1455100,2204971,4091340,11.94,NE,54213
2018,Nevada,Mathematics,8,483508,4975706,425585,1832299,2717822,6578849,10.29,NV,54280
2018,New Hampshire,Mathematics,8,176314,3163945,169195,1000779,1993971,3125003,17.94,NH,57833
2018,New Jersey,Mathematics,8,1370236,29957616,1139279,12246707,16571630,29410063,21.86,NJ,69917
2018,New Mexico,Mathematics,8,331464,4029429,596679,2721468,711282,4162449,12.16,NM,47152
2018,New York,Mathematics,8,2483316,64722404,2632716,23917335,38172353,73062061,26.06,NY,84227
2018,North Carolina,Mathematics,8,1434153,15159710,1533703,8782440,4843567,15018428,10.57,NC,51231
2018,North Dakota,Mathematics,8,108945,1910928,123314,1113221,674393,1800742,17.54,ND,52850
2018,Ohio,Mathematics,8,1802993,23349994,1682110,9628382,12039503,23918786,12.95,OH,58000
2018,Oklahoma,Mathematics,8,694816,6300397,676453,2839737,2784207,6506356,9.07,OK,46300
2018,Oregon,Mathematics,8,580690,8306956,550000,4271693,3485263,8311702,14.31,OR,63061
2018,Pennsylvania,Mathematics,8,1719336,30886309,1738955,11753920,17393435,34518949,17.96,PA,67535
2018,Rhode Island,Mathematics,8,141759,2412348,151635,981263,1279450,2535887,17.02,RI,66758
2018,South Carolina,Mathematics,8,778488,9648256,812106,4658200,4177950,10348493,12.39,SC,50182
2018,South Dakota,Mathematics,8,133861,1657535,229696,569335,858504,1634120,12.38,SD,47631
2018,Tennessee,Mathematics,8,1003445,9974977,1063713,4585212,4326051,9808617,9.94,TN,50900
2018,Texas,Mathematics,8,5395274,62402943,5556133,24777788,32069022,68258984,11.57,TX,53334
2018,Utah,Mathematics,8,652348,5546187,420977,2840787,2284423,5805548,8.5,UT,49655
2018,Vermont,Mathematics,8,87506,1799221,113394,1608573,77254,1603935,20.56,VT,60556
2018,Virginia,Mathematics,8,1275360,17156329,1215344,6608716,9332269,17375484,13.45,VA,51994
2018,Washington,Mathematics,8,1089190,16767528,977636,10849080,4940812,19217308,15.39,WA,55693
2018,West Virginia,Mathematics,8,270613,3804958,435952,2153768,1215238,3638962,14.06,WV,45642
2018,Wisconsin,Mathematics,8,860138,11336693,722456,6466068,4148169,11557692,13.18,WI,51469
2018,Wyoming,Mathematics,8,92976,1823967,116463,1035210,672294,1745874,19.62,WY,58352
2019,Alabama,Mathematics,8,722212,7875277,846549,4466438,2562290,8047588,10.9,AL,50810
2019,Alaska,Mathematics,8,132554,3088759,466415,1828286,794058,3486838,23.3,AK,70277
2019,Arizona,Mathematics,8,1118346,10896298,1252904,5160784,4482609,10938201,9.74,AZ,49892
2019,Arkansas,Mathematics,8,479401,5516816,569896,2776557,2170363,5558874,11.51,AR,51019
2019,California,Mathematics,8,6229319,100648397,8893701,58126308,33628388,100270095,16.16,CA,82282
2019,Colorado,Mathematics,8,911536,11274478,758932,4904309,5611238,12311840,12.37,CO,53301
2019,Connecticut,Mathematics,8,530612,12035558,436859,5050042,6548657,11509335,22.68,CT,76465
2019,Delaware,Mathematics,8,140244,2545987,188376,1525446,832165,2173241,18.15,DE,62308
2019,District of Columbia,Mathematics,8,90754,2885764,191745,0,2694019,3411764,31.8,DC,78477
2019,Florida,Mathematics,8,2846857,31074166,3542844,12318413,15212909,32351111,10.92,FL,48395
2019,Georgia,Mathematics,8,1767178,21074119,1749643,9874209,9450267,19860259,11.93,GA,57137
2019,Hawaii,Mathematics,8,179363,3107590,217521,2840928,49141,3263362,17.33,HI,59757
2019,Idaho,Mathematics,8,307416,2349713,162590,1570656,616467,2657650,7.64,ID,50757
2019,Illinois,Mathematics,8,2038575,34168417,1744151,13584357,18839909,35726634,16.76,IL,66600
2019,Indiana,Mathematics,8,1053703,12239050,860931,7970767,3407352,11053888,11.62,IN,50937
2019,Iowa,Mathematics,8,515902,6887427,382125,3834961,2670341,6905189,13.35,IA,58140
2019,Kansas,Mathematics,8,491764,6694717,485000,4543000,1666717,6751845,13.61,KS,49800
2019,Kentucky,Mathematics,8,661742,7878963,824136,4310722,2744105,7737657,11.91,KY,53434
2019,Louisiana,Mathematics,8,719215,9668201,1170658,3890173,4607370,9742067,13.44,LA,50923
2019,Maine,Mathematics,8,182496,2810411,135679,1051815,1622917,3299018,15.4,ME,54974
2019,Maryland,Mathematics,8,896845,16030650,1022139,6512630,8495881,14581204,17.87,MD,70463
2019,Massachusetts,Mathematics,8,953315,18509641,828225,7187458,10493958,19348510,19.42,MA,82042
2019,Michigan,Mathematics,8,1437694,18413679,1150452,11764577,5498650,17746527,12.81,MI,61825
2019,Minnesota,Mathematics,8,861265,13916240,540579,9736178,3639483,13420422,16.16,MN,58221
2019,Mississippi,Mathematics,8,476082,4753948,640358,2440749,1672841,4493552,9.99,MS,45574
2019,Missouri,Mathematics,8,880267,11817855,974476,3949071,6894308,11669730,13.43,MO,50064
2019,Montana,Mathematics,8,147816,1914825,206413,926236,782176,1799147,12.95,MT,54034
2019,Nebraska,Mathematics,8,325984,4067877,208406,1570234,2289238,4262380,12.48,NE,54506
2019,Nevada,Mathematics,8,487018,5038698,400131,1889716,2748850,6814623,10.35,NV,54280
2019,New Hampshire,Mathematics,8,173479,3279477,182558,1097379,1999540,3199462,18.9,NH,58146
2019,New Jersey,Mathematics,8,1373720,30526974,1195843,12656639,16674493,29933412,22.22,NJ,70212
2019,New Mexico,Mathematics,8,329439,4122138,600512,2782733,738893,4261505,12.51,NM,47826
2019,New York,Mathematics,8,2464693,65901319,2417504,24022979,39460836,74907332,26.74,NY,85889
2019,North Carolina,Mathematics,8,1421763,16062711,1492758,9053684,5516269,15314239,11.3,NC,53975
2019,North Dakota,Mathematics,8,110842,1995138,107968,1189877,697293,1873485,18,ND,53434
2019,Ohio,Mathematics,8,1795686,23568934,1628445,9763420,12177068,24081681,13.13,OH,57799
2019,Oklahoma,Mathematics,8,698586,6327874,639618,2869043,2819213,6757714,9.06,OK,52412
2019,Oregon,Mathematics,8,582501,8613403,550000,4399843,3663560,8561053,14.79,OR,64385
2019,Pennsylvania,Mathematics,8,1712553,31377861,1504208,12057505,17816149,35512933,18.32,PA,68141
2019,Rhode Island,Mathematics,8,141368,2432696,143782,999788,1289126,2561383,17.21,RI,67040
2019,South Carolina,Mathematics,8,781389,9912720,798613,4824834,4289273,10791773,12.69,SC,50395
2019,South Dakota,Mathematics,8,134993,1697843,221782,588535,887526,1673481,12.58,SD,48786
2019,Tennessee,Mathematics,8,1001818,10168244,1047465,4679102,4441677,9970195,10.15,TN,51714
2019,Texas,Mathematics,8,5447605,62831053,5583480,23655357,33592216,68752723,11.53,TX,54155
2019,Utah,Mathematics,8,659909,5900642,490832,2962698,2447112,5976562,8.94,UT,50342
2019,Vermont,Mathematics,8,87131,1829699,108232,1645618,75849,1607204,21,VT,61027
2019,Virginia,Mathematics,8,1279363,17434687,1162000,6753590,9519097,17800529,13.63,VA,52466
2019,Washington,Mathematics,8,1092198,19173293,1092915,13363343,4717035,21272111,17.55,WA,72965
2019,West Virginia,Mathematics,8,265755,3837351,423367,2174625,1239359,3653223,14.44,WV,47681
2019,Wisconsin,Mathematics,8,858833,11384209,692362,6655273,4036574,11689818,13.26,WI,51453
2019,Wyoming,Mathematics,8,93029,1975328,108263,1212708,654357,1835888,21.23,WY,58618
2018,Alabama,Reading,8,726924,7672087,861648,4149067,2661372,8075271,10.55,AL,50568
2018,Alaska,Reading,8,133381,2986615,452082,1776137,758396,3302234,22.39,AK,69682
2018,Arizona,Reading,8,1108259,10761460,1310927,5020755,4429778,10343407,9.71,AZ,48723
2018,Arkansas,Reading,8,478972,5523586,619653,2738922,2165011,5567865,11.53,AR,50544
2018,California,Reading,8,6229121,95198947,8073820,55290622,31834505,96546739,15.28,CA,80680
2018,Colorado,Reading,8,910280,10903750,733977,4743045,5426729,11907002,11.98,CO,52701
2018,Connecticut,Reading,8,535025,11678374,441943,4798719,6437712,11324016,21.83,CT,74517
2018,Delaware,Reading,8,138371,2457316,192308,1468792,796216,2131694,17.76,DE,61795
2018,District of Columbia,Reading,8,88353,2759277,194901,0,2564376,3222225,31.23,DC,76486
2018,Florida,Reading,8,2833115,30123298,3432323,11812824,14878151,30994541,10.63,FL,48168
2018,Georgia,Reading,8,1768642,20716853,1837424,9528788,9350640,19486747,11.71,GA,56329
2018,Hawaii,Reading,8,179255,3035390,235593,2747382,52415,3227336,16.93,HI,57866
2018,Idaho,Reading,8,302469,2355855,186293,1569417,600146,2595315,7.79,ID,49225
2018,Illinois,Reading,8,2001548,33415226,1928122,13101045,18386059,34797747,16.69,IL,65721
2018,Indiana,Reading,8,1052267,12340845,880881,7939855,3520109,11232851,11.73,IN,50614
2018,Iowa,Reading,8,512971,6786873,382125,3775683,2629065,6813542,13.23,IA,57018
2018,Kansas,Reading,8,491270,6560596,484412,4331222,1744962,6492159,13.35,KS,49754
2018,Kentucky,Reading,8,660193,7771921,845579,4249896,2676446,7684254,11.77,KY,52952
2018,Louisiana,Reading,8,722666,9374129,1156548,3842526,4375055,9395347,12.97,LA,50359
2018,Maine,Reading,8,180650,2795989,142555,1061147,1592287,3239790,15.48,ME,53815
2018,Maryland,Reading,8,893689,15782710,1042946,6445740,8294024,14427820,17.66,MD,69627
2018,Massachusetts,Reading,8,952838,18327993,862734,6971301,10493958,18604337,19.24,MA,80357
2018,Michigan,Reading,8,1453468,17686310,1191426,11706904,4787980,17389159,12.17,MI,61911
2018,Minnesota,Reading,8,862135,13470984,568701,9318500,3583783,13124192,15.63,MN,57782
2018,Mississippi,Reading,8,477633,4717892,658656,2408234,1651002,4447082,9.88,MS,44926
2018,Missouri,Reading,8,883643,11561165,970236,3840433,6750496,11475153,13.08,MO,49304
2018,Montana,Reading,8,147088,1866477,205772,897831,762874,1773999,12.69,MT,52776
2018,Nebraska,Reading,8,323273,3859091,199020,1455100,2204971,4091340,11.94,NE,54213
2018,Nevada,Reading,8,483508,4975706,425585,1832299,2717822,6578849,10.29,NV,54280
2018,New Hampshire,Reading,8,176314,3163945,169195,1000779,1993971,3125003,17.94,NH,57833
2018,New Jersey,Reading,8,1370236,29957616,1139279,12246707,16571630,29410063,21.86,NJ,69917
2018,New Mexico,Reading,8,331464,4029429,596679,2721468,711282,4162449,12.16,NM,47152
2018,New York,Reading,8,2483316,64722404,2632716,23917335,38172353,73062061,26.06,NY,84227
2018,North Carolina,Reading,8,1434153,15159710,1533703,8782440,4843567,15018428,10.57,NC,51231
2018,North Dakota,Reading,8,108945,1910928,123314,1113221,674393,1800742,17.54,ND,52850
2018,Ohio,Reading,8,1802993,23349994,1682110,9628382,12039503,23918786,12.95,OH,58000
2018,Oklahoma,Reading,8,694816,6300397,676453,2839737,2784207,6506356,9.07,OK,46300
2018,Oregon,Reading,8,580690,8306956,550000,4271693,3485263,8311702,14.31,OR,63061
2018,Pennsylvania,Reading,8,1719336,30886309,1738955,11753920,17393435,34518949,17.96,PA,67535
2018,Rhode Island,Reading,8,141759,2412348,151635,981263,1279450,2535887,17.02,RI,66758
2018,South Carolina,Reading,8,778488,9648256,812106,4658200,4177950,10348493,12.39,SC,50182
2018,South Dakota,Reading,8,133861,1657535,229696,569335,858504,1634120,12.38,SD,47631
2018,Tennessee,Reading,8,1003445,9974977,1063713,4585212,4326051,9808617,9.94,TN,50900
2018,Texas,Reading,8,5395274,62402943,5556133,24777788,32069022,68258984,11.57,TX,53334
2018,Utah,Reading,8,652348,5546187,420977,2840787,2284423,5805548,8.5,UT,49655
2018,Vermont,Reading,8,87506,1799221,113394,1608573,77254,1603935,20.56,VT,60556
2018,Virginia,Reading,8,1275360,17156329,1215344,6608716,9332269,17375484,13.45,VA,51994
2018,Washington,Reading,8,1089190,16767528,977636,10849080,4940812,19217308,15.39,WA,55693
2018,West Virginia,Reading,8,270613,3804958,435952,2153768,1215238,3638962,14.06,WV,45642
2018,Wisconsin,Reading,8,860138,11336693,722456,6466068,4148169,11557692,13.18,WI,51469
2018,Wyoming,Reading,8,92976,1823967,116463,1035210,672294,1745874,19.62,WY,58352
2019,Alabama,Reading,8,722212,7875277,846549,4466438,2562290,8047588,10.9,AL,50810
2019,Alaska,Reading,8,132554,3088759,466415,1828286,794058,3486838,23.3,AK,70277
2019,Arizona,Reading,8,1118346,10896298,1252904,5160784,4482609,10938201,9.74,AZ,49892
2019,Arkansas,Reading,8,479401,5516816,569896,2776557,2170363,5558874,11.51,AR,51019
2019,California,Reading,8,6229319,100648397,8893701,58126308,33628388,100270095,16.16,CA,82282
2019,Colorado,Reading,8,911536,11274478,758932,4904309,5611238,12311840,12.37,CO,53301
2019,Connecticut,Reading,8,530612,12035558,436859,5050042,6548657,11509335,22.68,CT,76465
2019,Delaware,Reading,8,140244,2545987,188376,1525446,832165,2173241,18.15,DE,62308
2019,District of Columbia,Reading,8,90754,2885764,191745,0,2694019,3411764,31.8,DC,78477
2019,Florida,Reading,8,2846857,31074166,3542844,12318413,15212909,32351111,10.92,FL,48395
2019,Georgia,Reading,8,1767178,21074119,1749643,9874209,9450267,19860259,11.93,GA,57137
2019,Hawaii,Reading,8,179363,3107590,217521,2840928,49141,3263362,17.33,HI,59757
2019,Idaho,Reading,8,307416,2349713,162590,1570656,616467,2657650,7.64,ID,50757
2019,Illinois,Reading,8,2038575,34168417,1744151,13584357,18839909,35726634,16.76,IL,66600
2019,Indiana,Reading,8,1053703,12239050,860931,7970767,3407352,11053888,11.62,IN,50937
2019,Iowa,Reading,8,515902,6887427,382125,3834961,2670341,6905189,13.35,IA,58140
2019,Kansas,Reading,8,491764,6694717,485000,4543000,1666717,6751845,13.61,KS,49800
2019,Kentucky,Reading,8,661742,7878963,824136,4310722,2744105,7737657,11.91,KY,53434
2019,Louisiana,Reading,8,719215,9668201,1170658,3890173,4607370,9742067,13.44,LA,50923
2019,Maine,Reading,8,182496,2810411,135679,1051815,1622917,3299018,15.4,ME,54974
2019,Maryland,Reading,8,896845,16030650,1022139,6512630,8495881,14581204,17.87,MD,70463
2019,Massachusetts,Reading,8,953315,18509641,828225,7187458,10493958,19348510,19.42,MA,82042
2019,Michigan,Reading,8,1437694,18413679,1150452,11764577,5498650,17746527,12.81,MI,61825
2019,Minnesota,Reading,8,861265,13916240,540579,9736178,3639483,13420422,16.16,MN,58221
2019,Mississippi,Reading,8,476082,4753948,640358,2440749,1672841,4493552,9.99,MS,45574
2019,Missouri,Reading,8,880267,11817855,974476,3949071,6894308,11669730,13.43,MO,50064
2019,Montana,Reading,8,147816,1914825,206413,926236,782176,1799147,12.95,MT,54034
2019,Nebraska,Reading,8,325984,4067877,208406,1570234,2289238,4262380,12.48,NE,54506
2019,Nevada,Reading,8,487018,5038698,400131,1889716,2748850,6814623,10.35,NV,54280
2019,New Hampshire,Reading,8,173479,3279477,182558,1097379,1999540,3199462,18.9,NH,58146
2019,New Jersey,Reading,8,1373720,30526974,1195843,12656639,16674493,29933412,22.22,NJ,70212
2019,New Mexico,Reading,8,329439,4122138,600512,2782733,738893,4261505,12.51,NM,47826
2019,New York,Reading,8,2464693,65901319,2417504,24022979,39460836,74907332,26.74,NY,85889
2019,North Carolina,Reading,8,1421763,16062711,1492758,9053684,5516269,15314239,11.3,NC,53975
2019,North Dakota,Reading,8,110842,1995138,107968,1189877,697293,1873485,18,ND,53434
2019,Ohio,Reading,8,1795686,23568934,1628445,9763420,12177068,24081681,13.13,OH,57799
2019,Oklahoma,Reading,8,698586,6327874,639618,2869043,2819213,6757714,9.06,OK,52412
2019,Oregon,Reading,8,582501,8613403,550000,4399843,3663560,8561053,14.79,OR,64385
2019,Pennsylvania,Reading,8,1712553,31377861,1504208,12057505,17816149,35512933,18.32,PA,68141
2019,Rhode Island,Reading,8,141368,2432696,143782,999788,1289126,2561383,17.21,RI,67040
2019,South Carolina,Reading,8,781389,9912720,798613,4824834,4289273,10791773,12.69,SC,50395
2019,South Dakota,Reading,8,134993,1697843,221782,588535,887526,1673481,12.58,SD,48786
2019,Tennessee,Reading,8,1001818,10168244,1047465,4679102,4441677,9970195,10.15,TN,51714
2019,Texas,Reading,8,5447605,62831053,5583480,23655357,33592216,68752723,11.53,TX,54155
2019,Utah,Reading,8,659909,5900642,490832,2962698,2447112,5976562,8.94,UT,50342
2019,Vermont,Reading,8,87131,1829699,108232,1645618,75849,1607204,21,VT,61027
2019,Virginia,Reading,8,1279363,17434687,1162000,6753590,9519097,17800529,13.63,VA,52466
2019,Washington,Reading,8,1092198,19173293,1092915,13363343,4717035,21272111,17.55,WA,72965
2019,West Virginia,Reading,8,265755,3837351,423367,2174625,1239359,3653223,14.44,WV,47681
2019,Wisconsin,Reading,8,858833,11384209,692362,6655273,4036574,11689818,13.26,WI,51453
2019,Wyoming,Reading,8,93029,1975328,108263,1212708,654357,1835888,21.23,WY,58618