Year,State,Salary
1990,US,31367
1990,AL,24828
1990,AK,43153
1990,AZ,29402
1990,AR,22352
1990,CA,37998
1990,CO,30758
1990,CT,40461
1990,DE,33377
1990,DC,38402
1990,FL,28803
1990,GA,28006
1990,HI,32047
1990,ID,23861
1990,IL,32794
1990,IN,30902
1990,IA,26747
1990,KS,28744
1990,KY,26292
1990,LA,24300
1990,ME,26881
1990,MD,36319
1990,MA,34712
1990,MI,37072
1990,MN,32190
1990,MS,24292
1990,MO,27094
1990,MT,25081
1990,NE,25522
1990,NV,30590
1990,NH,28986
1990,NJ,35676
1990,NM,24756
1990,NY,38925
1990,NC,27883
1990,ND,23016
1990,OH,31218
1990,OK,23070
1990,OR,30840
1990,PA,33338
1990,RI,36057
1990,SC,27217
1990,SD,21300
1990,TN,27052
1990,TX,27496
1990,UT,23686
1990,VT,29012
1990,VA,30938
1990,WA,30457
1990,WV,22842
1990,WI,31921
1990,WY,28141
1991,US,33061
1991,AL,26874
1991,AK,43427
1991,AZ,30773
1991,AR,23611
1991,CA,39598
1991,CO,31819
1991,CT,43808
1991,DE,35246
1991,DC,39497
1991,FL,30555
1991,GA,28976
1991,HI,32541
1991,ID,25485
1991,IL,34605
1991,IN,32757
1991,IA,27977
1991,KS,29767
1991,KY,29115
1991,LA,26240
1991,ME,28531
1991,MD,38382
1991,MA,36460
1991,MI,39449
1991,MN,33126
1991,MS,24366
1991,MO,27202
1991,MT,26774
1991,NE,26592
1991,NV,32209
1991,NH,31200
1991,NJ,38411
1991,NM,25735
1991,NY,42080
1991,NC,29276
1991,ND,23574
1991,OH,32615
1991,OK,24457
1991,OR,32300
1991,PA,36057
1991,RI,34997
1991,SC,28301
1991,SD,22376
1991,TN,28248
1991,TX,28321
1991,UT,25578
1991,VT,31236
1991,VA,32153
1991,WA,33079
1991,WV,25967
1991,WI,33209
1991,WY,28948
1992,US,34015
1992,AL,26971
1992,AK,44661
1992,AZ,31176
1992,AR,27070
1992,CA,39922
1992,CO,33072
1992,CT,46971
1992,DE,34548
1992,DC,38798
1992,FL,31070
1992,GA,29372
1992,HI,34528
1992,ID,26334
1992,IL,36461
1992,IN,34006
1992,IA,29202
1992,KS,28759
1992,KY,30870
1992,LA,25963
1992,ME,30097
1992,MD,38728
1992,MA,37845
1992,MI,41490
1992,MN,34451
1992,MS,24367
1992,MO,27765
1992,MT,27590
1992,NE,27231
1992,NV,33857
1992,NH,33170
1992,NJ,41027
1992,NM,26239
1992,NY,43335
1992,NC,28791
1992,ND,24495
1992,OH,33212
1992,OK,25339
1992,OR,34100
1992,PA,38715
1992,RI,36417
1992,SC,28068
1992,SD,23291
1992,TN,28621
1992,TX,29041
1992,UT,26339
1992,VT,33646
1992,VA,31764
1992,WA,34823
1992,WV,27366
1992,WI,35227
1992,WY,30425
1993,US,34974
1993,AL,26953
1993,AK,46701
1993,AZ,31352
1993,AR,27433
1993,CA,40035
1993,CO,33541
1993,CT,48343
1993,DE,36217
1993,DC,38702
1993,FL,31172
1993,GA,30223
1993,HI,36470
1993,ID,27011
1993,IL,38632
1993,IN,35066
1993,IA,30130
1993,KS,30243
1993,KY,31115
1993,LA,26102
1993,ME,30250
1993,MD,38753
1993,MA,38681
1993,MI,43901
1993,MN,35093
1993,MS,24367
1993,MO,28238
1993,MT,27617
1993,NE,28754
1993,NV,34119
1993,NH,33931
1993,NJ,42680
1993,NM,26532
1993,NY,44999
1993,NC,29315
1993,ND,25211
1993,OH,34519
1993,OK,25918
1993,OR,36008
1993,PA,41215
1993,RI,37933
1993,SC,29224
1993,SD,24289
1993,TN,28960
1993,TX,29935
1993,UT,27239
1993,VT,34824
1993,VA,32257
1993,WA,35759
1993,WV,30301
1993,WI,35926
1993,WY,30080
1994,US,35705
1994,AL,28705
1994,AK,47512
1994,AZ,31800
1994,AR,28098
1994,CA,40264
1994,CO,33826
1994,CT,49769
1994,DE,37469
1994,DC,42543
1994,FL,31944
1994,GA,30712
1994,HI,36564
1994,ID,27756
1994,IL,39387
1994,IN,35712
1994,IA,30760
1994,KS,31297
1994,KY,31625
1994,LA,26095
1994,ME,30996
1994,MD,39453
1994,MA,39012
1994,MI,44856
1994,MN,35440
1994,MS,25153
1994,MO,29088
1994,MT,28200
1994,NE,29564
1994,NV,33955
1994,NH,34121
1994,NJ,45442
1994,NM,27202
1994,NY,45772
1994,NC,29728
1994,ND,25506
1994,OH,35673
1994,OK,27009
1994,OR,37713
1994,PA,42411
1994,RI,39261
1994,SC,29566
1994,SD,25259
1994,TN,30514
1994,TX,30529
1994,UT,27706
1994,VT,34517
1994,VA,33009
1994,WA,35863
1994,WV,30549
1994,WI,35990
1994,WY,30952
1995,US,36757
1995,AL,31144
1995,AK,47951
1995,AZ,32574
1995,AR,28934
1995,CA,41078
1995,CO,34571
1995,CT,50045
1995,DE,39076
1995,DC,41835
1995,FL,32588
1995,GA,32291
1995,HI,38518
1995,ID,29785
1995,IL,39431
1995,IN,36785
1995,IA,31511
1995,KS,31815
1995,KY,32257
1995,LA,26461
1995,ME,31972
1995,MD,40661
1995,MA,40718
1995,MI,46463
1995,MN,35948
1995,MS,26818
1995,MO,29949
1995,MT,28785
1995,NE,30922
1995,NV,34836
1995,NH,34720
1995,NJ,46908
1995,NM,28493
1995,NY,47612
1995,NC,30793
1995,ND,26327
1995,OH,36802
1995,OK,28172
1995,OR,38555
1995,PA,44510
1995,RI,40729
1995,SC,30279
1995,SD,25994
1995,TN,32477
1995,TX,31223
1995,UT,29082
1995,VT,35406
1995,VA,33987
1995,WA,36151
1995,WV,31944
1995,WI,37746
1995,WY,31285
1996,US,37585
1996,AL,31313
1996,AK,49620
1996,AZ,32483
1996,AR,29533
1996,CA,42259
1996,CO,35364
1996,CT,50254
1996,DE,40533
1996,DC,43700
1996,FL,33330
1996,GA,34002
1996,HI,35807
1996,ID,30892
1996,IL,40919
1996,IN,37675
1996,IA,32372
1996,KS,32382
1996,KY,33080
1996,LA,27530
1996,ME,32869
1996,MD,41160
1996,MA,41760
1996,MI,46832
1996,MN,36922
1996,MS,27692
1996,MO,30992
1996,MT,29364
1996,NE,31496
1996,NV,36167
1996,NH,35792
1996,NJ,48585
1996,NM,29074
1996,NY,48115
1996,NC,30411
1996,ND,26969
1996,OH,37835
1996,OK,28404
1996,OR,39706
1996,PA,46087
1996,RI,41765
1996,SC,31622
1996,SD,26346
1996,TN,33126
1996,TX,31400
1996,UT,30588
1996,VT,36295
1996,VA,34792
1996,WA,37853
1996,WV,32155
1996,WI,38182
1996,WY,31571
1997,US,38413
1997,AL,32549
1997,AK,50647
1997,AZ,33685
1997,AR,30578
1997,CA,42992
1997,CO,36271
1997,CT,50426
1997,DE,41436
1997,DC,44834
1997,FL,33889
1997,GA,35596
1997,HI,35842
1997,ID,31820
1997,IL,42125
1997,IN,38845
1997,IA,33272
1997,KS,32865
1997,KY,33949
1997,LA,29025
1997,ME,33676
1997,MD,41148
1997,MA,42650
1997,MI,47181
1997,MN,38115
1997,MS,27720
1997,MO,31846
1997,MT,29958
1997,NE,31768
1997,NV,37340
1997,NH,36029
1997,NJ,49656
1997,NM,30131
1997,NY,48000
1997,NC,31167
1997,ND,27711
1997,OH,38677
1997,OK,30369
1997,OR,40960
1997,PA,47148
1997,RI,43019
1997,SC,32830
1997,SD,26764
1997,TN,34222
1997,TX,32426
1997,UT,31867
1997,VT,36053
1997,VA,35536
1997,WA,37805
1997,WV,33250
1997,WI,39057
1997,WY,31715
1998,US,39346
1998,AL,32818
1998,AK,47601
1998,AZ,34411
1998,AR,31837
1998,CA,44585
1998,CO,37240
1998,CT,50730
1998,DE,42439
1998,DC,47076
1998,FL,34475
1998,GA,37569
1998,HI,38377
1998,ID,32834
1998,IL,43690
1998,IN,39750
1998,IA,34084
1998,KS,33579
1998,KY,34613
1998,LA,31131
1998,ME,34349
1998,MD,41739
1998,MA,44051
1998,MI,47168
1998,MN,37932
1998,MS,28692
1998,MO,32582
1998,MT,30620
1998,NE,32668
1998,NV,37094
1998,NH,36663
1998,NJ,50322
1998,NM,30152
1998,NY,48712
1998,NC,33129
1998,ND,28230
1998,OH,39596
1998,OK,30692
1998,OR,42200
1998,PA,47542
1998,RI,44300
1998,SC,33697
1998,SD,27875
1998,TN,34584
1998,TX,33537
1998,UT,32482
1998,VT,36299
1998,VA,36428
1998,WA,38759
1998,WV,33396
1998,WI,39357
1998,WY,31972
1999,US,40517
1999,AL,35820
1999,AK,46845
1999,AZ,34983
1999,AR,32330
1999,CA,46129
1999,CO,38157
1999,CT,51424
1999,DE,43164
1999,DC,47076
1999,FL,35916
1999,GA,39675
1999,HI,39871
1999,ID,34442
1999,IL,45269
1999,IN,41159
1999,IA,35007
1999,KS,34369
1999,KY,35526
1999,LA,32384
1999,ME,34906
1999,MD,43112
1999,MA,45149
1999,MI,47448
1999,MN,39458
1999,MS,29530
1999,MO,33433
1999,MT,31354
1999,NE,32880
1999,NV,38735
1999,NH,37405
1999,NJ,51062
1999,NM,32398
1999,NY,49490
1999,NC,36883
1999,ND,28976
1999,OH,40561
1999,OK,31115
1999,OR,41304
1999,PA,48457
1999,RI,45650
1999,SC,34506
1999,SD,28553
1999,TN,35490
1999,TX,34336
1999,UT,33917
1999,VT,36700
1999,VA,37565
1999,WA,38688
1999,WV,34244
1999,WI,40657
1999,WY,33464
2000,US,41790
2000,AL,36689
2000,AK,46462
2000,AZ,36902
2000,AR,33386
2000,CA,47680
2000,CO,38163
2000,CT,51780
2000,DE,44435
2000,DC,47076
2000,FL,36722
2000,GA,41023
2000,HI,40578
2000,ID,35547
2000,IL,46486
2000,IN,41850
2000,IA,35678
2000,KS,34981
2000,KY,36380
2000,LA,33109
2000,ME,35561
2000,MD,44048
2000,MA,46580
2000,MI,49044
2000,MN,39802
2000,MS,31857
2000,MO,34214
2000,MT,32121
2000,NE,33237
2000,NV,39390
2000,NH,37734
2000,NJ,51498
2000,NM,32554
2000,NY,51020
2000,NC,39404
2000,ND,29863
2000,OH,41434
2000,OK,31294
2000,OR,42336
2000,PA,48321
2000,RI,47041
2000,SC,36081
2000,SD,29071
2000,TN,36328
2000,TX,37567
2000,UT,34946
2000,VT,37758
2000,VA,38744
2000,WA,41043
2000,WV,35009
2000,WI,41153
2000,WY,34127
2001,US,43378
2001,AL,37101
2001,AK,48123
2001,AZ,37167
2001,AR,34641
2001,CA,52480
2001,CO,39183
2001,CT,52693
2001,DE,47047
2001,DC,48704
2001,FL,38230
2001,GA,42216
2001,HI,40052
2001,ID,37109
2001,IL,47847
2001,IN,43311
2001,IA,36479
2001,KS,35901
2001,KY,36589
2001,LA,33615
2001,ME,36373
2001,MD,45963
2001,MA,48649
2001,MI,51317
2001,MN,42212
2001,MS,31954
2001,MO,35235
2001,MT,33249
2001,NE,34175
2001,NV,40443
2001,NH,38301
2001,NJ,51793
2001,NM,33785
2001,NY,51500
2001,NC,41496
2001,ND,30891
2001,OH,42693
2001,OK,34498
2001,OR,44989
2001,PA,49528
2001,RI,48474
2001,SC,37938
2001,SD,30265
2001,TN,37431
2001,TX,38361
2001,UT,36441
2001,VT,38253
2001,VA,40175
2001,WA,42137
2001,WV,35888
2001,WI,42122
2001,WY,34678
2002,US,44648
2002,AL,37183
2002,AK,49418
2002,AZ,39973
2002,AR,36245
2002,CA,54348
2002,CO,40659
2002,CT,53551
2002,DE,48358
2002,DC,47049
2002,FL,39275
2002,GA,44073
2002,HI,42615
2002,ID,39174
2002,IL,49435
2002,IN,44030
2002,IA,38230
2002,KS,37093
2002,KY,37951
2002,LA,36328
2002,ME,37300
2002,MD,48251
2002,MA,49242
2002,MI,52477
2002,MN,43330
2002,MS,33295
2002,MO,36421
2002,MT,34379
2002,NE,36236
2002,NV,40763
2002,NH,40002
2002,NJ,52790
2002,NM,36440
2002,NY,52000
2002,NC,42680
2002,ND,32253
2002,OH,44019
2002,OK,34738
2002,OR,46153
2002,PA,50599
2002,RI,49758
2002,SC,39923
2002,SD,31295
2002,TN,38515
2002,TX,39232
2002,UT,38139
2002,VT,39158
2002,VA,41771
2002,WA,43464
2002,WV,36751
2002,WI,42232
2002,WY,37853
2003,US,45688
2003,AL,38240
2003,AK,49685
2003,AZ,40894
2003,AR,38167
2003,CA,55693
2003,CO,42680
2003,CT,55367
2003,DE,49533
2003,DC,50763
2003,FL,40281
2003,GA,45533
2003,HI,44464
2003,ID,39715
2003,IL,51475
2003,IN,45090
2003,IA,39059
2003,KS,37795
2003,KY,38881
2003,LA,37166
2003,ME,38518
2003,MD,49677
2003,MA,51803
2003,MI,53175
2003,MN,44745
2003,MS,35134
2003,MO,37687
2003,MT,35754
2003,NE,37896
2003,NV,42254
2003,NH,41909
2003,NJ,53743
2003,NM,36965
2003,NY,53017
2003,NC,42411
2003,ND,33869
2003,OH,45490
2003,OK,34877
2003,OR,47463
2003,PA,51372
2003,RI,51076
2003,SC,40362
2003,SD,32416
2003,TN,39186
2003,TX,39974
2003,UT,38268
2003,VT,41491
2003,VA,40377
2003,WA,44958
2003,WV,38481
2003,WI,42775
2003,WY,38840
2004,US,46542
2004,AL,38285
2004,AK,51736
2004,AZ,39541
2004,AR,39314
2004,CA,56444
2004,CO,43319
2004,CT,57337
2004,DE,49669
2004,DC,57009
2004,FL,40591
2004,GA,45988
2004,HI,45479
2004,ID,40111
2004,IL,54230
2004,IN,45791
2004,IA,38381
2004,KS,38623
2004,KY,40201
2004,LA,37918
2004,ME,39864
2004,MD,50261
2004,MA,53733
2004,MI,52161
2004,MN,45375
2004,MS,36190
2004,MO,38278
2004,MT,37184
2004,NE,38352
2004,NV,42254
2004,NH,42689
2004,NJ,55180
2004,NM,37877
2004,NY,55181
2004,NC,43211
2004,ND,35629
2004,OH,47482
2004,OK,35061
2004,OR,47829
2004,PA,52590
2004,RI,52261
2004,SC,41162
2004,SD,33236
2004,TN,40318
2004,TX,40476
2004,UT,38976
2004,VT,42007
2004,VA,40666
2004,WA,45434
2004,WV,38461
2004,WI,42882
2004,WY,39532
2005,US,47540
2005,AL,38186
2005,AK,52424
2005,AZ,40027
2005,AR,43092
2005,CA,57604
2005,CO,43965
2005,CT,57737
2005,DE,50595
2005,DC,58456
2005,FL,41590
2005,GA,46526
2005,HI,46149
2005,ID,40864
2005,IL,57539
2005,IN,46583
2005,IA,39284
2005,KS,39345
2005,KY,40959
2005,LA,39022
2005,ME,39610
2005,MD,52331
2005,MA,54701
2005,MI,53959
2005,MN,47410
2005,MS,38717
2005,MO,39078
2005,MT,38485
2005,NE,39456
2005,NV,43394
2005,NH,43941
2005,NJ,56519
2005,NM,39391
2005,NY,55665
2005,NC,43383
2005,ND,36695
2005,OH,48692
2005,OK,37879
2005,OR,48320
2005,PA,53258
2005,RI,53473
2005,SC,42189
2005,SD,34040
2005,TN,42076
2005,TX,41011
2005,UT,37065
2005,VT,43009
2005,VA,41959
2005,WA,45718
2005,WV,38360
2005,WI,44299
2005,WY,40497
2006,US,49088
2006,AL,40327
2006,AK,53322
2006,AZ,43941
2006,AR,43374
2006,CA,59825
2006,CO,44456
2006,CT,59304
2006,DE,54264
2006,DC,59000
2006,FL,43302
2006,GA,48300
2006,HI,49292
2006,ID,41150
2006,IL,58686
2006,IN,47255
2006,IA,41083
2006,KS,41467
2006,KY,42592
2006,LA,40029
2006,ME,40856
2006,MD,54333
2006,MA,56366
2006,MI,54739
2006,MN,47522
2006,MS,41158
2006,MO,40384
2006,MT,39832
2006,NE,40382
2006,NV,44426
2006,NH,45263
2006,NJ,58156
2006,NM,41637
2006,NY,59681
2006,NC,43922
2006,ND,37764
2006,OH,50314
2006,OK,38772
2006,OR,50044
2006,PA,54027
2006,RI,54730
2006,SC,43011
2006,SD,34709
2006,TN,42537
2006,TX,41744
2006,UT,37543
2006,VT,44148
2006,VA,43569
2006,WA,46316
2006,WV,38284
2006,WI,46390
2006,WY,43296
2007,US,51142
2007,AL,43389
2007,AK,54679
2007,AZ,44700
2007,AR,45590
2007,CA,63640
2007,CO,45831
2007,CT,62107
2007,DE,54680
2007,DC,59000
2007,FL,45308
2007,GA,49873
2007,HI,51922
2007,ID,42798
2007,IL,58246
2007,IN,47831
2007,IA,43130
2007,KS,43358
2007,KY,43646
2007,LA,42816
2007,ME,42103
2007,MD,56927
2007,MA,58258
2007,MI,55526
2007,MN,49718
2007,MS,43273
2007,MO,41751
2007,MT,41225
2007,NE,42080
2007,NV,45158
2007,NH,46797
2007,NJ,59584
2007,NM,42780
2007,NY,63086
2007,NC,46137
2007,ND,38822
2007,OH,53534
2007,OK,42379
2007,OR,51471
2007,PA,54970
2007,RI,55956
2007,SC,43891
2007,SD,35378
2007,TN,43816
2007,TX,44897
2007,UT,37775
2007,VT,45337
2007,VA,45539
2007,WA,47882
2007,WV,40531
2007,WI,47901
2007,WY,50796
2008,US,52963
2008,AL,46604
2008,AK,56758
2008,AZ,45772
2008,AR,45238
2008,CA,65808
2008,CO,47493
2008,CT,63722
2008,DE,55994
2008,DC,60628
2008,FL,46930
2008,GA,51520
2008,HI,53400
2008,ID,44099
2008,IL,60474
2008,IN,49155
2008,IA,45664
2008,KS,44795
2008,KY,47208
2008,LA,46964
2008,ME,43397
2008,MD,60069
2008,MA,64164
2008,MI,60430
2008,MN,50345
2008,MS,41768
2008,MO,43206
2008,MT,42874
2008,NE,43629
2008,NV,47710
2008,NH,48310
2008,NJ,61277
2008,NM,45112
2008,NY,65491
2008,NC,47354
2008,ND,40279
2008,OH,53410
2008,OK,43551
2008,OR,52656
2008,PA,56092
2008,RI,57210
2008,SC,45758
2008,SD,36674
2008,TN,44820
2008,TX,46179
2008,UT,43175
2008,VT,46593
2008,VA,46680
2008,WA,49884
2008,WV,42529
2008,WI,49051
2008,WY,52961
2009,US,54354
2009,AL,46879
2009,AK,58395
2009,AZ,46358
2009,AR,45738
2009,CA,66995
2009,CO,48485
2009,CT,65830
2009,DE,56667
2009,DC,62557
2009,FL,46921
2009,GA,52879
2009,HI,54964
2009,ID,45178
2009,IL,61022
2009,IN,49568
2009,IA,48638
2009,KS,46237
2009,KY,47875
2009,LA,48627
2009,ME,45184
2009,MD,63436
2009,MA,67572
2009,MI,60430
2009,MN,52414
2009,MS,41041
2009,MO,44249
2009,MT,44426
2009,NE,44968
2009,NV,50067
2009,NH,50128
2009,NJ,63111
2009,NM,45752
2009,NY,69118
2009,NC,48454
2009,ND,41654
2009,OH,54656
2009,OK,43846
2009,OR,54085
2009,PA,57787
2009,RI,58440
2009,SC,47421
2009,SD,35070
2009,TN,45549
2009,TX,47157
2009,UT,45923
2009,VT,47884
2009,VA,48385
2009,WA,52567
2009,WV,44701
2009,WI,51121
2009,WY,54602
2010,US,55225
2010,AL,47571
2010,AK,60732
2010,AZ,46952
2010,AR,46045
2010,CA,67932
2010,CO,49181
2010,CT,68096
2010,DE,57080
2010,DC,64548
2010,FL,46708
2010,GA,53112
2010,HI,55063
2010,ID,46464
2010,IL,62731
2010,IN,49986
2010,IA,49626
2010,KS,46660
2010,KY,49543
2010,LA,48903
2010,ME,46208
2010,MD,64005
2010,MA,68733
2010,MI,63023
2010,MN,52431
2010,MS,42307
2010,MO,45159
2010,MT,45759
2010,NE,46227
2010,NV,51524
2010,NH,51443
2010,NJ,65130
2010,NM,46258
2010,NY,71633
2010,NC,46850
2010,ND,42877
2010,OH,55958
2010,OK,44261
2010,OR,55494
2010,PA,59156
2010,RI,59686
2010,SC,47508
2010,SD,38837
2010,TN,45497
2010,TX,48261
2010,UT,46340
2010,VT,49084
2010,VA,48043
2010,WA,53003
2010,WV,44505
2010,WI,51264
2010,WY,55861
2011,US,55586
2011,AL,47803
2011,AK,62918
2011,AZ,46637
2011,AR,45998
2011,CA,67871
2011,CO,49228
2011,CT,69165
2011,DE,57934
2011,DC,66601
2011,FL,45732
2011,GA,52815
2011,HI,55063
2011,ID,45450
2011,IL,64509
2011,IN,50801
2011,IA,49844
2011,KS,46598
2011,KY,48908
2011,LA,49006
2011,ME,47249
2011,MD,63960
2011,MA,70340
2011,MI,61560
2011,MN,53680
2011,MS,41975
2011,MO,45321
2011,MT,47132
2011,NE,47965
2011,NV,53023
2011,NH,52792
2011,NJ,66612
2011,NM,46888
2011,NY,72708
2011,NC,46700
2011,ND,44807
2011,OH,56715
2011,OK,44343
2011,OR,56503
2011,PA,60760
2011,RI,60923
2011,SC,47050
2011,SD,39850
2011,TN,45891
2011,TX,48638
2011,UT,45329
2011,VT,51372
2011,VA,47564
2011,WA,52926
2011,WV,44260
2011,WI,54207
2011,WY,56100
2012,US,55522
2012,AL,48003
2012,AK,62425
2012,AZ,45193
2012,AR,46314
2012,CA,69755
2012,CO,49049
2012,CT,69465
2012,DE,58800
2012,DC,68720
2012,FL,46504
2012,GA,52938
2012,HI,54070
2012,ID,44435
2012,IL,57636
2012,IN,50516
2012,IA,50240
2012,KS,46718
2012,KY,49730
2012,LA,50179
2012,ME,47338
2012,MD,63634
2012,MA,70474
2012,MI,61560
2012,MN,54959
2012,MS,41976
2012,MO,46406
2012,MT,47839
2012,NE,47984
2012,NV,54559
2012,NH,54177
2012,NJ,67078
2012,NM,45622
2012,NY,73398
2012,NC,45933
2012,ND,46058
2012,OH,56715
2012,OK,44391
2012,OR,56941
2012,PA,61934
2012,RI,62186
2012,SC,47428
2012,SD,38804
2012,TN,47082
2012,TX,48373
2012,UT,45432
2012,VT,53896
2012,VA,48114
2012,WA,52232
2012,WV,45399
2012,WI,53792
2012,WY,56774
2013,US,56065
2013,AL,47949
2013,AK,65468
2013,AZ,45264
2013,AR,46631
2013,CA,69435
2013,CO,49844
2013,CT,69397
2013,DE,59679
2013,DC,70906
2013,FL,46598
2013,GA,52880
2013,HI,54300
2013,ID,44669
2013,IL,59113
2013,IN,50077
2013,IA,50946
2013,KS,47464
2013,KY,50203
2013,LA,51381
2013,ME,48430
2013,MD,64248
2013,MA,71620
2013,MI,61560
2013,MN,56268
2013,MS,41814
2013,MO,47517
2013,MT,48855
2013,NE,48842
2013,NV,55957
2013,NH,55599
2013,NJ,67447
2013,NM,45453
2013,NY,75279
2013,NC,45737
2013,ND,47344
2013,OH,56307
2013,OK,44373
2013,OR,57600
2013,PA,62994
2013,RI,63474
2013,SC,48375
2013,SD,39018
2013,TN,47563
2013,TX,48819
2013,UT,45543
2013,VT,53735
2013,VA,48988
2013,WA,52234
2013,WV,45453
2013,WI,53797
2013,WY,56775
2014,US,56648
2014,AL,48720
2014,AK,65891
2014,AZ,45335
2014,AR,47319
2014,CA,71396
2014,CO,49615
2014,CT,70583
2014,DE,59305
2014,DC,73162
2014,FL,47780
2014,GA,52924
2014,HI,56291
2014,ID,44465
2014,IL,60124
2014,IN,50289
2014,IA,52032
2014,KS,48221
2014,KY,50560
2014,LA,49067
2014,ME,49232
2014,MD,64546
2014,MA,73847
2014,MI,62166
2014,MN,54752
2014,MS,42187
2014,MO,46752
2014,MT,49893
2014,NE,49539
2014,NV,55813
2014,NH,57057
2014,NJ,68238
2014,NM,45727
2014,NY,76409
2014,NC,44990
2014,ND,48666
2014,OH,55913
2014,OK,44547
2014,OR,58638
2014,PA,63701
2014,RI,64969
2014,SC,48430
2014,SD,40023
2014,TN,47742
2014,TX,49690
2014,UT,45695
2014,VT,55958
2014,VA,49786
2014,WA,52969
2014,WV,45086
2014,WI,53679
2014,WY,56583
2015,US,57611
2015,AL,48611
2015,AK,66755
2015,AZ,47456
2015,AR,47823
2015,CA,74090
2015,CO,44421
2015,CT,71709
2015,DE,59707
2015,DC,75490
2015,FL,48992
2015,GA,53382
2015,HI,57189
2015,ID,45218
2015,IL,61083
2015,IN,50877
2015,IA,53408
2015,KS,47609
2015,KY,51155
2015,LA,49491
2015,ME,49926
2015,MD,65477
2015,MA,75398
2015,MI,61978
2015,MN,56670
2015,MS,42564
2015,MO,47423
2015,MT,50670
2015,NE,50525
2015,NV,56703
2015,NH,55986
2015,NJ,69038
2015,NM,46625
2015,NY,77628
2015,NC,47792
2015,ND,48944
2015,OH,54672
2015,OK,45317
2015,OR,59464
2015,PA,64447
2015,RI,65918
2015,SC,48486
2015,SD,40934
2015,TN,47979
2015,TX,50713
2015,UT,46689
2015,VT,57642
2015,VA,50544
2015,WA,52502
2015,WV,45783
2015,WI,52264
2015,WY,57414
2016,US,58479
2016,AL,48518
2016,AK,67443
2016,AZ,47218
2016,AR,48218
2016,CA,77179
2016,CO,51233
2016,CT,72013
2016,DE,59960
2016,DC,73991
2016,FL,46612
2016,GA,54190
2016,HI,56049
2016,ID,46122
2016,IL,63475
2016,IN,53645
2016,IA,54386
2016,KS,47755
2016,KY,52134
2016,LA,49745
2016,ME,50498
2016,MD,66456
2016,MA,76522
2016,MI,61875
2016,MN,56913
2016,MS,42744
2016,MO,47959
2016,MT,51034
2016,NE,51386
2016,NV,56943
2016,NH,56616
2016,NJ,69330
2016,NM,47163
2016,NY,79152
2016,NC,47941
2016,ND,51223
2016,OH,56441
2016,OK,45276
2016,OR,60395
2016,PA,65151
2016,RI,66197
2016,SC,48769
2016,SD,42025
2016,TN,48817
2016,TX,51890
2016,UT,46887
2016,VT,55726
2016,VA,49690
2016,WA,53701
2016,WV,45622
2016,WI,54115
2016,WY,58140
2017,US,59660
2017,AL,50391
2017,AK,68138
2017,AZ,47403
2017,AR,48304
2017,CA,79128
2017,CO,51808
2017,CT,73147
2017,DE,60214
2017,DC,75692
2017,FL,47267
2017,GA,55532
2017,HI,56651
2017,ID,47504
2017,IL,64933
2017,IN,54308
2017,IA,55647
2017,KS,49422
2017,KY,52338
2017,LA,50000
2017,ME,51077
2017,MD,68357
2017,MA,78100
2017,MI,62287
2017,MN,57346
2017,MS,42925
2017,MO,48618
2017,MT,51422
2017,NE,52338
2017,NV,57376
2017,NH,57522
2017,NJ,69623
2017,NM,47122
2017,NY,81902
2017,NC,49970
2017,ND,52968
2017,OH,58202
2017,OK,45292
2017,OR,61862
2017,PA,66265
2017,RI,66477
2017,SC,50000
2017,SD,46979
2017,TN,50099
2017,TX,52575
2017,UT,47244
2017,VT,57349
2017,VA,51049
2017,WA,54433
2017,WV,45555
2017,WI,54998
2017,WY,58187
